zone,canonical_zone,area,is_canonical,selectable
Africa/Maseru,Africa/Johannesburg,Africa,false,true
Africa/Mbabane,Africa/Johannesburg,Africa,false,true
Africa/Mogadishu,Africa/Nairobi,Africa,false,true
Africa/Monrovia,Africa/Monrovia,Africa,true,true
Africa/Nairobi,Africa/Nairobi,Africa,true,true
Africa/Ndjamena,Africa/Ndjamena,Africa,true,true
Africa/Niamey,Africa/Lagos,Africa,false,true
Africa/Nouakchott,Africa/Abidjan,Africa,false,true
Africa/Ouagadougou,Africa/Abidjan,Africa,false,true
Africa/Porto-Novo,Africa/Lagos,Africa,false,true
Africa/Sao_Tome,Africa/Sao_Tome,Africa,true,true
Africa/Timbuktu,Africa/Abidjan,Africa,false,true
Africa/Tripoli,Africa/Tripoli,Africa,true,true
Africa/Tunis,Africa/Tunis,Africa,true,true
Africa/Windhoek,Africa/Windhoek,Africa,true,true
America/Adak,America/Adak,America,true,true
America/Anchorage,America/Anchorage,America,true,true
America/Anguilla,America/Puerto_Rico,America,false,true
America/Antigua,America/Puerto_Rico,America,false,true
America/Araguaina,America/Araguaina,America,true,true
America/Argentina/Buenos_Aires,America/Argentina/Buenos_Aires,America,true,true
America/Argentina/Catamarca,America/Argentina/Catamarca,America,true,true
America/Argentina/ComodRivadavia,America/Argentina/Catamarca,America,false,true
America/Argentina/Cordoba,America/Argentina/Cordoba,America,true,true
America/Argentina/Jujuy,America/Argentina/Jujuy,America,true,true
America/Argentina/La_Rioja,America/Argentina/La_Rioja,America,true,true
America/Argentina/Mendoza,America/Argentina/Mendoza,America,true,true
America/Argentina/Rio_Gallegos,America/Argentina/Rio_Gallegos,America,true,true
America/Argentina/Salta,America/Argentina/Salta,America,true,true
America/Argentina/San_Juan,America/Argentina/San_Juan,America,true,true
America/Argentina/San_Luis,America/Argentina/San_Luis,America,true,true
America/Argentina/Tucuman,America/Argentina/Tucuman,America,true,true
America/Argentina/Ushuaia,America/Argentina/Ushuaia,America,true,true
America/Aruba,America/Puerto_Rico,America,false,true
America/Asuncion,America/Asuncion,America,true,true
America/Atikokan,America/Panama,America,false,true
America/Atka,America/Adak,America,false,true
America/Bahia,America/Bahia,America,true,true
America/Bahia_Banderas,America/Bahia_Banderas,America,true,true
America/Barbados,America/Barbados,America,true,true
America/Belem,America/Belem,America,true,true
America/Belize,America/Belize,America,true,true
America/Blanc-Sablon,America/Puerto_Rico,America,false,true
America/Boa_Vista,America/Boa_Vista,America,true,true
America/Bogota,America/Bogota,America,true,true
America/Boise,America/Boise,America,true,true
America/Buenos_Aires,America/Argentina/Buenos_Aires,America,false,true
America/Cambridge_Bay,America/Cambridge_Bay,America,true,true
America/Campo_Grande,America/Campo_Grande,America,true,true
America/Cancun,America/Cancun,America,true,true
America/Caracas,America/Caracas,America,true,true
America/Catamarca,America/Argentina/Catamarca,America,false,true
America/Cayenne,America/Cayenne,America,true,true
America/Cayman,America/Panama,America,false,true
America/Chicago,America/Chicago,America,true,true
America/Chihuahua,America/Chihuahua,America,true,true
America/Ciudad_Juarez,America/Ciudad_Juarez,America,true,true
America/Coral_Harbour,America/Panama,America,false,true
America/Cordoba,America/Argentina/Cordoba,America,false,true
America/Costa_Rica,America/Costa_Rica,America,true,true
America/Coyhaique,America/Coyhaique,America,true,true
America/Creston,America/Phoenix,America,false,true
America/Cuiaba,America/Cuiaba,America,true,true
America/Curacao,America/Puerto_Rico,America,false,true
America/Danmarkshavn,America/Danmarkshavn,America,true,true
America/Dawson,America/Dawson,America,true,true
America/Dawson_Creek,America/Dawson_Creek,America,true,true
America/Denver,America/Denver,America,true,true
America/Detroit,America/Detroit,America,true,true
America/Dominica,America/Puerto_Rico,America,false,true
America/Edmonton,America/Edmonton,America,true,true
America/Eirunepe,America/Eirunepe,America,true,true
America/El_Salvador,America/El_Salvador,America,true,true
America/Ensenada,America/Tijuana,America,false,true
America/Fort_Nelson,America/Fort_Nelson,America,true,true
America/Fort_Wayne,America/Indiana/Indianapolis,America,false,true
America/Fortaleza,America/Fortaleza,America,true,true
America/Glace_Bay,America/Glace_Bay,America,true,true
America/Godthab,America/Nuuk,America,false,true
America/Goose_Bay,America/Goose_Bay,America,true,true
America/Grand_Turk,America/Grand_Turk,America,true,true
America/Grenada,America/Puerto_Rico,America,false,true
America/Guadeloupe,America/Puerto_Rico,America,false,true
America/Guatemala,America/Guatemala,America,true,true
America/Guayaquil,America/Guayaquil,America,true,true
America/Guyana,America/Guyana,America,true,true
America/Halifax,America/Halifax,America,true,true
America/Havana,America/Havana,America,true,true
America/Hermosillo,America/Hermosillo,America,true,true
America/Indiana/Indianapolis,America/Indiana/Indianapolis,America,true,true
America/Indiana/Knox,America/Indiana/Knox,America,true,true
America/Indiana/Marengo,America/Indiana/Marengo,America,true,true
America/Indiana/Petersburg,America/Indiana/Petersburg,America,true,true
America/Indiana/Tell_City,America/Indiana/Tell_City,America,true,true
America/Indiana/Vevay,America/Indiana/Vevay,America,true,true
America/Indiana/Vincennes,America/Indiana/Vincennes,America,true,true
America/Indiana/Winamac,America/Indiana/Winamac,America,true,true
America/Indianapolis,America/Indiana/Indianapolis,America,false,true
America/Inuvik,America/Inuvik,America,true,true
America/Iqaluit,America/Iqaluit,America,true,true
America/Jamaica,America/Jamaica,America,true,true
America/Jujuy,America/Argentina/Jujuy,America,false,true
America/Juneau,America/Juneau,America,true,true
America/Kentucky/Louisville,America/Kentucky/Louisville,America,true,true
America/Kentucky/Monticello,America/Kentucky/Monticello,America,true,true
America/Knox_IN,America/Indiana/Knox,America,false,true
America/Kralendijk,America/Puerto_Rico,America,false,true
America/La_Paz,America/La_Paz,America,true,true
America/Lima,America/Lima,America,true,true
America/Los_Angeles,America/Los_Angeles,America,true,true
America/Louisville,America/Kentucky/Louisville,America,false,true
America/Lower_Princes,America/Puerto_Rico,America,false,true
America/Maceio,America/Maceio,America,true,true
America/Managua,America/Managua,America,true,true
America/Manaus,America/Manaus,America,true,true
America/Marigot,America/Puerto_Rico,America,false,true
America/Martinique,America/Martinique,America,true,true
America/Matamoros,America/Matamoros,America,true,true
America/Mazatlan,America/Mazatlan,America,true,true
America/Mendoza,America/Argentina/Mendoza,America,false,true
America/Menominee,America/Menominee,America,true,true
America/Merida,America/Merida,America,true,true
America/Metlakatla,America/Metlakatla,America,true,true
America/Mexico_City,America/Mexico_City,America,true,true
America/Miquelon,America/Miquelon,America,true,true
America/Moncton,America/Moncton,America,true,true
America/Monterrey,America/Monterrey,America,true,true
America/Montevideo,America/Montevideo,America,true,true
America/Montreal,America/Toronto,America,false,true
America/Montserrat,America/Puerto_Rico,America,false,true
America/Nassau,America/Toronto,America,false,true
America/New_York,America/New_York,America,true,true
America/Nipigon,America/Toronto,America,false,true
America/Nome,America/Nome,America,true,true
America/Noronha,America/Noronha,America,true,true
America/North_Dakota/Beulah,America/North_Dakota/Beulah,America,true,true
America/North_Dakota/Center,America/North_Dakota/Center,America,true,true
America/North_Dakota/New_Salem,America/North_Dakota/New_Salem,America,true,true
America/Nuuk,America/Nuuk,America,true,true
America/Ojinaga,America/Ojinaga,America,true,true
America/Panama,America/Panama,America,true,true
America/Pangnirtung,America/Iqaluit,America,false,true
America/Paramaribo,America/Paramaribo,America,true,true
America/Phoenix,America/Phoenix,America,true,true
America/Port-au-Prince,America/Port-au-Prince,America,true,true
America/Port_of_Spain,America/Puerto_Rico,America,false,true
America/Porto_Acre,America/Rio_Branco,America,false,true
America/Porto_Velho,America/Porto_Velho,America,true,true
America/Puerto_Rico,America/Puerto_Rico,America,true,true
America/Punta_Arenas,America/Punta_Arenas,America,true,true
America/Rainy_River,America/Winnipeg,America,false,true
America/Rankin_Inlet,America/Rankin_Inlet,America,true,true
America/Recife,America/Recife,America,true,true
America/Regina,America/Regina,America,true,true
America/Resolute,America/Resolute,America,true,true
America/Rio_Branco,America/Rio_Branco,America,true,true
America/Rosario,America/Argentina/Cordoba,America,false,true
America/Santa_Isabel,America/Tijuana,America,false,true
America/Santarem,America/Santarem,America,true,true
America/Santiago,America/Santiago,America,true,true
America/Santo_Domingo,America/Santo_Domingo,America,true,true
America/Sao_Paulo,America/Sao_Paulo,America,true,true
America/Scoresbysund,America/Scoresbysund,America,true,true
America/Shiprock,America/Denver,America,false,true
America/Sitka,America/Sitka,America,true,true
America/St_Barthelemy,America/Puerto_Rico,America,false,true
America/St_Johns,America/St_Johns,America,true,true
America/St_Kitts,America/Puerto_Rico,America,false,true
America/St_Lucia,America/Puerto_Rico,America,false,true
America/St_Thomas,America/Puerto_Rico,America,false,true
America/St_Vincent,America/Puerto_Rico,America,false,true
America/Swift_Current,America/Swift_Current,America,true,true
America/Tegucigalpa,America/Tegucigalpa,America,true,true
America/Thule,America/Thule,America,true,true
America/Thunder_Bay,America/Toronto,America,false,true
America/Tijuana,America/Tijuana,America,true,true
America/Toronto,America/Toronto,America,true,true
America/Tortola,America/Puerto_Rico,America,false,true
America/Vancouver,America/Vancouver,America,true,true
America/Virgin,America/Puerto_Rico,America,false,true
America/Whitehorse,America/Whitehorse,America,true,true
America/Winnipeg,America/Winnipeg,America,true,true
America/Yakutat,America/Yakutat,America,true,true
America/Yellowknife,America/Edmonton,America,false,true
Antarctica/Casey,Antarctica/Casey,Antarctica,true,true
Antarctica/Davis,Antarctica/Davis,Antarctica,true,true
Antarctica/DumontDUrville,Pacific/Port_Moresby,Antarctica,false,true
Antarctica/Macquarie,Antarctica/Macquarie,Antarctica,true,true
Antarctica/Mawson,Antarctica/Mawson,Antarctica,true,true
Antarctica/McMurdo,Pacific/Auckland,Antarctica,false,true
Antarctica/Palmer,Antarctica/Palmer,Antarctica,true,true
Antarctica/Rothera,Antarctica/Rothera,Antarctica,true,true
Antarctica/South_Pole,Pacific/Auckland,Antarctica,false,true
Antarctica/Syowa,Asia/Riyadh,Antarctica,false,true
Antarctica/Troll,Antarctica/Troll,Antarctica,true,true
Antarctica/Vostok,Antarctica/Vostok,Antarctica,true,true
Arctic/Longyearbyen,Europe/Berlin,Arctic,false,true
Asia/Aden,Asia/Riyadh,Asia,false,true
Asia/Almaty,Asia/Almaty,Asia,true,true
Asia/Amman,Asia/Amman,Asia,true,true
Asia/Anadyr,Asia/Anadyr,Asia,true,true
Asia/Aqtau,Asia/Aqtau,Asia,true,true
Asia/Aqtobe,Asia/Aqtobe,Asia,true,true
Asia/Ashgabat,Asia/Ashgabat,Asia,true,true
Asia/Ashkhabad,Asia/Ashgabat,Asia,false,true
Asia/Atyrau,Asia/Atyrau,Asia,true,true
Asia/Baghdad,Asia/Baghdad,Asia,true,true
Asia/Bahrain,Asia/Qatar,Asia,false,true
Asia/Baku,Asia/Baku,Asia,true,true
Asia/Bangkok,Asia/Bangkok,Asia,true,true
Asia/Barnaul,Asia/Barnaul,Asia,true,true
Asia/Beirut,Asia/Beirut,Asia,true,true
Asia/Bishkek,Asia/Bishkek,Asia,true,true
Asia/Brunei,Asia/Kuching,Asia,false,true
Asia/Calcutta,Asia/Kolkata,Asia,false,true
Asia/Chita,Asia/Chita,Asia,true,true
Asia/Choibalsan,Asia/Ulaanbaatar,Asia,false,true
Asia/Chongqing,Asia/Shanghai,Asia,false,true
Asia/Chungking,Asia/Shanghai,Asia,false,true
Asia/Colombo,Asia/Colombo,Asia,true,true
Asia/Dacca,Asia/Dhaka,Asia,false,true
Asia/Damascus,Asia/Damascus,Asia,true,true
Asia/Dhaka,Asia/Dhaka,Asia,true,true
Asia/Dili,Asia/Dili,Asia,true,true
Asia/Dubai,Asia/Dubai,Asia,true,true
Asia/Dushanbe,Asia/Dushanbe,Asia,true,true
Asia/Famagusta,Asia/Famagusta,Asia,true,true
Asia/Gaza,Asia/Gaza,Asia,true,true
Asia/Harbin,Asia/Shanghai,Asia,false,true
Asia/Hebron,Asia/Hebron,Asia,true,true
Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh,Asia,true,true
Asia/Hong_Kong,Asia/Hong_Kong,Asia,true,true
Asia/Hovd,Asia/Hovd,Asia,true,true
Asia/Irkutsk,Asia/Irkutsk,Asia,true,true
Asia/Istanbul,Europe/Istanbul,Asia,false,true
Asia/Jakarta,Asia/Jakarta,Asia,true,true
Asia/Jayapura,Asia/Jayapura,Asia,true,true
Asia/Jerusalem,Asia/Jerusalem,Asia,true,true
Asia/Kabul,Asia/Kabul,Asia,true,true
Asia/Kamchatka,Asia/Kamchatka,Asia,true,true
Asia/Karachi,Asia/Karachi,Asia,true,true
Asia/Kashgar,Asia/Urumqi,Asia,false,true
Asia/Kathmandu,Asia/Kathmandu,Asia,true,true
Asia/Katmandu,Asia/Kathmandu,Asia,false,true
Asia/Khandyga,Asia/Khandyga,Asia,true,true
Asia/Kolkata,Asia/Kolkata,Asia,true,true
Asia/Krasnoyarsk,Asia/Krasnoyarsk,Asia,true,true
Asia/Kuala_Lumpur,Asia/Singapore,Asia,false,true
Asia/Kuching,Asia/Kuching,Asia,true,true
Asia/Kuwait,Asia/Riyadh,Asia,false,true
Asia/Macao,Asia/Macau,Asia,false,true
Asia/Macau,Asia/Macau,Asia,true,true
Asia/Magadan,Asia/Magadan,Asia,true,true
Asia/Makassar,Asia/Makassar,Asia,true,true
Asia/Manila,Asia/Manila,Asia,true,true
Asia/Muscat,Asia/Dubai,Asia,false,true
Asia/Nicosia,Asia/Nicosia,Asia,true,true
Asia/Novokuznetsk,Asia/Novokuznetsk,Asia,true,true
Asia/Novosibirsk,Asia/Novosibirsk,Asia,true,true
Asia/Omsk,Asia/Omsk,Asia,true,true
Asia/Oral,Asia/Oral,Asia,true,true
Asia/Phnom_Penh,Asia/Bangkok,Asia,false,true
Asia/Pontianak,Asia/Pontianak,Asia,true,true
Asia/Pyongyang,Asia/Pyongyang,Asia,true,true
Asia/Qatar,Asia/Qatar,Asia,true,true
Asia/Qostanay,Asia/Qostanay,Asia,true,true
Asia/Qyzylorda,Asia/Qyzylorda,Asia,true,true
Asia/Rangoon,Asia/Yangon,Asia,false,true
Asia/Riyadh,Asia/Riyadh,Asia,true,true
Asia/Saigon,Asia/Ho_Chi_Minh,Asia,false,true
Asia/Sakhalin,Asia/Sakhalin,Asia,true,true
Asia/Samarkand,Asia/Samarkand,Asia,true,true
Asia/Seoul,Asia/Seoul,Asia,true,true
Asia/Shanghai,Asia/Shanghai,Asia,true,true
Asia/Singapore,Asia/Singapore,Asia,true,true
Asia/Srednekolymsk,Asia/Srednekolymsk,Asia,true,true
Asia/Taipei,Asia/Taipei,Asia,true,true
Asia/Tashkent,Asia/Tashkent,Asia,true,true
Asia/Tbilisi,Asia/Tbilisi,Asia,true,true
Asia/Tehran,Asia/Tehran,Asia,true,true
Asia/Tel_Aviv,Asia/Jerusalem,Asia,false,true
Asia/Thimbu,Asia/Thimphu,Asia,false,true
Asia/Thimphu,Asia/Thimphu,Asia,true,true
Asia/Tokyo,Asia/Tokyo,Asia,true,true
Asia/Tomsk,Asia/Tomsk,Asia,true,true
Asia/Ujung_Pandang,Asia/Makassar,Asia,false,true
Asia/Ulaanbaatar,Asia/Ulaanbaatar,Asia,true,true
Asia/Ulan_Bator,Asia/Ulaanbaatar,Asia,false,true
Asia/Urumqi,Asia/Urumqi,Asia,true,true
Asia/Ust-Nera,Asia/Ust-Nera,Asia,true,true
Asia/Vientiane,Asia/Bangkok,Asia,false,true
Asia/Vladivostok,Asia/Vladivostok,Asia,true,true
Asia/Yakutsk,Asia/Yakutsk,Asia,true,true
Asia/Yangon,Asia/Yangon,Asia,true,true
Asia/Yekaterinburg,Asia/Yekaterinburg,Asia,true,true
Asia/Yerevan,Asia/Yerevan,Asia,true,true
Atlantic/Azores,Atlantic/Azores,Atlantic,true,true
Atlantic/Bermuda,Atlantic/Bermuda,Atlantic,true,true
Atlantic/Canary,Atlantic/Canary,Atlantic,true,true
Atlantic/Cape_Verde,Atlantic/Cape_Verde,Atlantic,true,true
Atlantic/Faeroe,Atlantic/Faroe,Atlantic,false,true
Atlantic/Faroe,Atlantic/Faroe,Atlantic,true,true
Atlantic/Jan_Mayen,Europe/Berlin,Atlantic,false,true
Atlantic/Madeira,Atlantic/Madeira,Atlantic,true,true
Atlantic/Reykjavik,Africa/Abidjan,Atlantic,false,true
Atlantic/South_Georgia,Atlantic/South_Georgia,Atlantic,true,true
Atlantic/St_Helena,Africa/Abidjan,Atlantic,false,true
Atlantic/Stanley,Atlantic/Stanley,Atlantic,true,true
Australia/ACT,Australia/Sydney,Australia,false,true
Australia/Adelaide,Australia/Adelaide,Australia,true,true
Australia/Brisbane,Australia/Brisbane,Australia,true,true
Australia/Broken_Hill,Australia/Broken_Hill,Australia,true,true
Australia/Canberra,Australia/Sydney,Australia,false,true
Australia/Currie,Australia/Hobart,Australia,false,true
Australia/Darwin,Australia/Darwin,Australia,true,true
Australia/Eucla,Australia/Eucla,Australia,true,true
Australia/Hobart,Australia/Hobart,Australia,true,true
Australia/LHI,Australia/Lord_Howe,Australia,false,true
Australia/Lindeman,Australia/Lindeman,Australia,true,true
Australia/Lord_Howe,Australia/Lord_Howe,Australia,true,true
Australia/Melbourne,Australia/Melbourne,Australia,true,true
Australia/NSW,Australia/Sydney,Australia,false,true
Australia/North,Australia/Darwin,Australia,false,true
Australia/Perth,Australia/Perth,Australia,true,true
Australia/Queensland,Australia/Brisbane,Australia,false,true
Australia/South,Australia/Adelaide,Australia,false,true
Australia/Sydney,Australia/Sydney,Australia,true,true
Australia/Tasmania,Australia/Hobart,Australia,false,true
Australia/Victoria,Australia/Melbourne,Australia,false,true
Australia/West,Australia/Perth,Australia,false,true
Australia/Yancowinna,Australia/Broken_Hill,Australia,false,true
Brazil/Acre,America/Rio_Branco,Brazil,false,false
Brazil/DeNoronha,America/Noronha,Brazil,false,false
Brazil/East,America/Sao_Paulo,Brazil,false,false
Brazil/West,America/Manaus,Brazil,false,false
CET,Europe/Brussels,Other,false,false
CST6CDT,America/Chicago,Other,false,false
Canada/Atlantic,America/Halifax,Canada,false,false
Canada/Central,America/Winnipeg,Canada,false,false
Canada/Eastern,America/Toronto,Canada,false,false
Canada/Mountain,America/Edmonton,Canada,false,false
Canada/Newfoundland,America/St_Johns,Canada,false,false
Canada/Pacific,America/Vancouver,Canada,false,false
Canada/Saskatchewan,America/Regina,Canada,false,false
Canada/Yukon,America/Whitehorse,Canada,false,false
Chile/Continental,America/Santiago,Chile,false,false
Chile/EasterIsland,Pacific/Easter,Chile,false,false
Cuba,America/Havana,Other,false,false
EET,Europe/Athens,Other,false,false
EST,America/Panama,Other,false,false
EST5EDT,America/New_York,Other,false,false
Egypt,Africa/Cairo,Other,false,false
Eire,Europe/Dublin,Other,false,false
Etc/GMT,Etc/GMT,Etc,false,false
Etc/GMT+0,Etc/GMT,Etc,false,false
Etc/GMT+1,Etc/GMT+1,Etc,false,false
Etc/GMT+10,Etc/GMT+10,Etc,false,false
Etc/GMT+11,Etc/GMT+11,Etc,false,false
Etc/GMT+12,Etc/GMT+12,Etc,false,false
Etc/GMT+2,Etc/GMT+2,Etc,false,false
Etc/GMT+3,Etc/GMT+3,Etc,false,false
Etc/GMT+4,Etc/GMT+4,Etc,false,false
Etc/GMT+5,Etc/GMT+5,Etc,false,false
Etc/GMT+6,Etc/GMT+6,Etc,false,false
Etc/GMT+7,Etc/GMT+7,Etc,false,false
Etc/GMT+8,Etc/GMT+8,Etc,false,false
Etc/GMT+9,Etc/GMT+9,Etc,false,false
Etc/GMT-0,Etc/GMT,Etc,false,false
Etc/GMT-1,Etc/GMT-1,Etc,false,false
Etc/GMT-10,Etc/GMT-10,Etc,false,false
Etc/GMT-11,Etc/GMT-11,Etc,false,false
Etc/GMT-12,Etc/GMT-12,Etc,false,false
Etc/GMT-13,Etc/GMT-13,Etc,false,false
Etc/GMT-14,Etc/GMT-14,Etc,false,false
Etc/GMT-2,Etc/GMT-2,Etc,false,false
Etc/GMT-3,Etc/GMT-3,Etc,false,false
Etc/GMT-4,Etc/GMT-4,Etc,false,false
Etc/GMT-5,Etc/GMT-5,Etc,false,false
Etc/GMT-6,Etc/GMT-6,Etc,false,false
Etc/GMT-7,Etc/GMT-7,Etc,false,false
Etc/GMT-8,Etc/GMT-8,Etc,false,false
Etc/GMT-9,Etc/GMT-9,Etc,false,false
Etc/GMT0,Etc/GMT,Etc,false,false
Etc/Greenwich,Etc/GMT,Etc,false,false
Etc/UCT,UTC,Etc,false,false
Etc/UTC,UTC,Etc,false,false
Etc/Universal,UTC,Etc,false,false
Etc/Zulu,UTC,Etc,false,false
Europe/Amsterdam,Europe/Brussels,Europe,false,true
Europe/Andorra,Europe/Andorra,Europe,true,true
Europe/Astrakhan,Europe/Astrakhan,Europe,true,true
Europe/Athens,Europe/Athens,Europe,true,true
Europe/Belfast,Europe/London,Europe,false,true
Europe/Belgrade,Europe/Belgrade,Europe,true,true
Europe/Berlin,Europe/Berlin,Europe,true,true
Europe/Bratislava,Europe/Prague,Europe,false,true
Europe/Brussels,Europe/Brussels,Europe,true,true
Europe/Bucharest,Europe/Bucharest,Europe,true,true
Europe/Budapest,Europe/Budapest,Europe,true,true
Europe/Busingen,Europe/Zurich,Europe,false,true
Europe/Chisinau,Europe/Chisinau,Europe,true,true
Europe/Copenhagen,Europe/Berlin,Europe,false,true
Europe/Dublin,Europe/Dublin,Europe,true,true
Europe/Gibraltar,Europe/Gibraltar,Europe,true,true
Europe/Guernsey,Europe/London,Europe,false,true
Europe/Helsinki,Europe/Helsinki,Europe,true,true
Europe/Isle_of_Man,Europe/London,Europe,false,true
Europe/Istanbul,Europe/Istanbul,Europe,true,true
Europe/Jersey,Europe/London,Europe,false,true
Europe/Kaliningrad,Europe/Kaliningrad,Europe,true,true
Europe/Kiev,Europe/Kyiv,Europe,false,true
Europe/Kirov,Europe/Kirov,Europe,true,true
Europe/Kyiv,Europe/Kyiv,Europe,true,true
Europe/Lisbon,Europe/Lisbon,Europe,true,true
Europe/Ljubljana,Europe/Belgrade,Europe,false,true
Europe/London,Europe/London,Europe,true,true
Europe/Luxembourg,Europe/Brussels,Europe,false,true
Europe/Madrid,Europe/Madrid,Europe,true,true
Europe/Malta,Europe/Malta,Europe,true,true
Europe/Mariehamn,Europe/Helsinki,Europe,false,true
Europe/Minsk,Europe/Minsk,Europe,true,true
Europe/Monaco,Europe/Paris,Europe,false,true
Europe/Moscow,Europe/Moscow,Europe,true,true
Europe/Nicosia,Asia/Nicosia,Europe,false,true
Europe/Oslo,Europe/Berlin,Europe,false,true
Europe/Paris,Europe/Paris,Europe,true,true
Europe/Podgorica,Europe/Belgrade,Europe,false,true
Europe/Prague,Europe/Prague,Europe,true,true
Europe/Riga,Europe/Riga,Europe,true,true
Europe/Rome,Europe/Rome,Europe,true,true
Europe/Samara,Europe/Samara,Europe,true,true
Europe/San_Marino,Europe/Rome,Europe,false,true
Europe/Sarajevo,Europe/Belgrade,Europe,false,true
Europe/Saratov,Europe/Saratov,Europe,true,true
Europe/Simferopol,Europe/Simferopol,Europe,true,true
Europe/Skopje,Europe/Belgrade,Europe,false,true
Europe/Sofia,Europe/Sofia,Europe,true,true
Europe/Stockholm,Europe/Berlin,Europe,false,true
Europe/Tallinn,Europe/Tallinn,Europe,true,true
Europe/Tirane,Europe/Tirane,Europe,true,true
Europe/Tiraspol,Europe/Chisinau,Europe,false,true
Europe/Ulyanovsk,Europe/Ulyanovsk,Europe,true,true
Europe/Uzhgorod,Europe/Kyiv,Europe,false,true
Europe/Vaduz,Europe/Zurich,Europe,false,true
Europe/Vatican,Europe/Rome,Europe,false,true
Europe/Vienna,Europe/Vienna,Europe,true,true
Europe/Vilnius,Europe/Vilnius,Europe,true,true
Europe/Volgograd,Europe/Volgograd,Europe,true,true
Europe/Warsaw,Europe/Warsaw,Europe,true,true
Europe/Zagreb,Europe/Belgrade,Europe,false,true
Europe/Zaporozhye,Europe/Kyiv,Europe,false,true
Europe/Zurich,Europe/Zurich,Europe,true,true
Factory,Factory,Other,false,false
GB,Europe/London,Other,false,false
GB-Eire,Europe/London,Other,false,false
GMT,Etc/GMT,Other,false,false
GMT+0,Etc/GMT,Other,false,false
GMT-0,Etc/GMT,Other,false,false
GMT0,Etc/GMT,Other,false,false
Greenwich,Etc/GMT,Other,false,false
HST,Pacific/Honolulu,Other,false,false
Hongkong,Asia/Hong_Kong,Other,false,false
Iceland,Africa/Abidjan,Other,false,false
Indian/Antananarivo,Africa/Nairobi,Indian,false,true
Indian/Chagos,Indian/Chagos,Indian,true,true
Indian/Christmas,Asia/Bangkok,Indian,false,true
Indian/Cocos,Asia/Yangon,Indian,false,true
Indian/Comoro,Africa/Nairobi,Indian,false,true
Indian/Kerguelen,Indian/Maldives,Indian,false,true
Indian/Mahe,Asia/Dubai,Indian,false,true
Indian/Maldives,Indian/Maldives,Indian,true,true
Indian/Mauritius,Indian/Mauritius,Indian,true,true
Indian/Mayotte,Africa/Nairobi,Indian,false,true
Indian/Reunion,Asia/Dubai,Indian,false,true
Iran,Asia/Tehran,Other,false,false
Israel,Asia/Jerusalem,Other,false,false
Jamaica,America/Jamaica,Other,false,false
Japan,Asia/Tokyo,Other,false,false
Kwajalein,Pacific/Kwajalein,Other,false,false
Libya,Africa/Tripoli,Other,false,false
MET,Europe/Brussels,Other,false,false
MST,America/Phoenix,Other,false,false
MST7MDT,America/Denver,Other,false,false
Mexico/BajaNorte,America/Tijuana,Mexico,false,false
Mexico/BajaSur,America/Mazatlan,Mexico,false,false
Mexico/General,America/Mexico_City,Mexico,false,false
NZ,Pacific/Auckland,Other,false,false
NZ-CHAT,Pacific/Chatham,Other,false,false
Navajo,America/Denver,Other,false,false
PRC,Asia/Shanghai,Other,false,false
